"","GSM2417003","GSM2417004","GSM2417005","GSM2417006","GSM2417007","GSM2417009","GSM2417011","GSM2417015","GSM2417016","ent_gene","symbol_limma"
"11751024_a_at",4.09148592928017,4.97264774183563,4.4484993285114,4.51542379220483,4.3562495288622,4.29862480478605,4.35843534896033,4.8324109766138,4.70066218485768,"9942","XYLB"
"11732447_x_at",6.08126577289949,5.35007108158224,6.33010358531804,5.48225535565212,6.17678432300168,5.77772896756913,5.88438295474745,6.19926509109074,5.78164931306264,"9941","EXOG"
"11729042_a_at",3.09571537154972,3.66543926489921,3.22250306646537,3.27242384432735,3.34255080332872,3.56404805806322,3.53788682806719,3.66035399295544,3.41190526317732,"9940","DLEC1"
"11718005_a_at",6.34022524112889,6.86094252171659,8.43881903263723,7.13685174957708,6.77033428268567,6.57508740484991,6.51455154461843,7.40868851790667,6.46602458477857,"994","CDC25B"
"11717423_s_at",8.09647475788948,7.46206622549528,8.40533354735736,7.04469220723227,8.5156067049702,7.95674012134373,7.7866369412268,8.3643325151217,7.79486899455984,"9939","RBM8A"
"11748747_a_at",3.23492836849031,3.38491411044871,4.81577558161882,2.99240505574506,3.41732795649384,3.43280709147572,2.68933834509862,3.46014207839026,3.22510313536,"9938","ARHGAP25"
"11729830_s_at",6.85577274144248,5.93632644205291,5.55950647625054,6.54863883765255,6.45737509769317,6.34889729503908,6.46421016510793,5.58643979786405,5.9750549352423,"9937","DCLRE1A"
"11723692_a_at",5.61533054516626,4.99186891933191,6.54904908877813,4.54337250205174,4.48812118330851,5.67478158676276,5.38663171298946,4.78306001671992,5.91394641769417,"9936","CD302"
"11721629_a_at",5.50898612363755,5.43129879335929,9.10909558633423,6.60257213878021,6.02439696161407,5.65839662851786,5.32308942341215,6.08905248122748,6.17906405296413,"9935","MAFB"
"11733632_s_at",6.17019020465417,5.4062647412453,4.81577558161882,5.09824202434036,4.81962204413003,5.61237800636667,5.77989161750089,5.09599083061898,5.98032107867825,"9934","P2RY14"
"11719725_at",6.19123329334188,5.9105204207634,6.96016626437356,6.1994681099652,6.18238420119921,5.8005897087531,6.07068695646595,6.3609794312176,6.24813129376431,"9933","PUM3"
"11719510_at",6.13153049044667,5.74828282606627,5.60297116311839,6.42673303162638,6.84115442482551,6.26304464871097,6.44130043357936,6.254088145651,5.99789498647415,"9931","HELZ"
"11726757_s_at",3.97690795568826,4.11708594619186,4.13265081349418,3.63031098647506,4.65318417684526,4.38998856273431,4.29789769309919,5.04712396729693,4.03264046294386,"993","CDC25A"
"11755160_a_at",8.73539830461024,8.392210380857,8.39845579937077,8.51212947966225,8.31580971662487,8.53253379164365,8.78435711399353,8.23708376103377,9.06698338207139,"9929","JOSD1"
"11731887_at",2.59315810941035,3.05591566294286,3.53333256723129,2.82016955810842,3.54606129370755,2.91258151114869,2.49535812952427,3.18118926796125,2.84908290697541,"9928","KIF14"
"11741010_a_at",8.85231367054562,9.33777739633561,9.04886081588285,9.32765271975858,8.78032296930542,8.93688348501953,9.20501329633646,8.80783568686845,9.03720898955492,"9927","MFN2"
"11723468_at",8.63186993415067,8.73174989191903,7.51318158813209,8.70376803721336,8.00136660062367,8.15210215015943,8.7411295858939,8.24637260673577,8.2852039248527,"9926","LPGAT1"
"11717815_at",6.54797010460246,6.72623896548079,6.82752486099947,6.51493138498511,7.47708474635606,6.75092515076709,6.69166362437733,7.5377991808238,6.28648117122996,"9925","ZBTB5"
"11718786_a_at",6.61296863414937,8.28475388128852,8.36879787227452,8.05001699902927,8.22769820297848,7.59867587119396,7.30379201452938,8.62303110912996,7.26728844962915,"9924","PAN2"
"11743356_a_at",4.80604713234659,4.5326176525375,4.82009773970174,4.4732412065216,4.71220535818143,4.48188945774086,4.45621516801875,5.0127987866535,4.46155892432463,"9923","ZBTB40"
"11718920_a_at",8.98280735473921,9.77555336417243,8.60326681712826,10.3300107327785,8.95303027530669,9.81767257565632,9.91207890458967,7.95439452587225,9.91628539430422,"9922","IQSEC1"
"11725952_at",7.02683797375981,7.39617076253648,7.50347978015775,7.52636092936269,7.45437114376974,7.37987721133155,7.61311250068953,7.39469587651923,7.53485771872602,"9921","RNF10"
"11721566_s_at",9.29483064573032,9.81902160215575,8.77421174001803,9.92457921794514,9.15744325323887,9.83382636886059,9.90382222447631,9.17476952649496,9.74647804035551,"9920","KBTBD11"
"11746007_a_at",5.26579485142576,5.53390495137621,5.37410265180433,5.54995909068603,5.47759302379315,5.36396033196083,5.00702582751425,5.2690732623195,5.07450651892985,"9919","SEC16A"
"11747606_a_at",4.86984968278679,6.1473676661063,6.0967010746053,5.46771492605122,7.48133866592792,5.36153955132097,5.78832167765146,7.37883404263591,5.23141945157892,"9918","NCAPD2"
"11717971_s_at",9.21266748515106,8.6609699352434,7.66497644735357,8.93860324797397,7.96418138868798,8.62801692730372,8.92798003926132,7.64965409454796,9.10358636736425,"9917","FAM20B"
"11762216_x_at",4.93188109226026,4.85504066608459,5.01964693577522,5.48568939400368,5.62179636448149,5.22862400439661,5.21678521266669,4.83625857854043,5.34981722607475,"9915","ARNT2"
"11738049_a_at",3.0448489170414,3.69387092164689,3.23179883308121,3.78982338673871,3.19930254080992,5.27548105087531,4.07304399762242,3.78597048825594,4.00393340067328,"9914","ATP2C2"
"11716857_at",5.94451340176907,5.76644473802651,5.67624802182846,5.94675941522531,6.2141450360943,6.19541741417388,6.25132498381874,6.00610101126875,5.6427256825992,"9913","SUPT7L"
"11724641_a_at",8.18053226570197,8.55597374874839,6.05386222407729,9.11082550736599,6.91340873309971,8.61039510691971,9.08911737250616,5.3125921933093,9.15251322632696,"9912","ARHGAP44"
"11721931_s_at",7.25893759883397,8.11906310739391,8.23048891957928,8.26137809199039,7.56237602255671,7.84320456063874,7.30295239019613,7.85165066395116,7.28845930493579,"9911","TMCC2"
"11760959_a_at",6.91410729647751,6.07837298816747,5.51491708814343,6.0155164675577,4.45658345267053,5.09252424774731,6.02965935144326,4.9140917876751,5.86423083433848,"9910","RABGAP1L"
"11717163_s_at",5.25935087698759,5.73164155643831,6.61922502792821,5.78842915434792,6.20058460148045,4.91594975927025,5.17833709219591,6.26402717208645,5.31573916108499,"991","CDC20"
"11720152_a_at",6.99746233755919,7.73083938253432,8.21933614205675,8.01633720295482,7.4787326953815,7.6582387720716,7.45121384016164,7.6190172067252,7.74357926826093,"9909","DENND4B"
"11716582_a_at",10.3197662429638,9.72539042844013,9.34654522190793,9.91240799048775,9.64504699670082,10.1593569630221,10.6452586782631,9.09586617654217,10.0898384716289,"9908","G3BP2"
"11722928_a_at",5.9864864089785,6.75758260500017,7.28901415760655,6.85413466814405,6.65948559422403,6.53917747309221,6.24918558210182,7.13012299105758,6.55618895249892,"9907","AP5Z1"
"11724093_s_at",9.38977892935973,9.22170862717416,8.95633667140496,10.128121821029,9.59137849211584,9.6951007906172,9.80750655717048,9.36348996854797,9.76445692020237,"9906","SLC35E2"
"11718328_a_at",8.66725931296973,9.42287239067667,8.72053654190677,9.14873956437937,8.92284705934639,9.44004489995773,9.19112006998569,8.80054131123589,9.67200504326993,"9905","SGSM2"
