"","GSM317718.CEL","GSM317719.CEL","GSM317720.CEL","GSM317721.CEL","GSM317722.CEL","ent_gene","symbol_limma"
"33889_s_at",11.9357402468488,12.2406176778623,11.9815846260462,11.7408722588867,11.4200598326516,"9993","DGCR2"
"977_s_at",6.39746572007719,6.31840986777306,6.62794492961704,6.32850088260554,6.40304034425218,"999","CDH1"
"34371_at",9.14801774367715,8.81268284767873,8.74245421329339,8.89679141371975,9.0261708853853,"9989","PPP4R1"
"41808_at",7.96202071709889,7.58930865458685,7.68567549248473,7.89089874888215,8.03820902851495,"9988","DMTF1"
"40576_f_at",8.91868882317271,8.64152144861202,8.65386634390433,8.79712861422947,8.70913731917613,"9987","HNRNPDL"
"40242_at",8.49651030708699,7.86149159591142,7.8371686669281,7.74975072633497,7.77944231123878,"9984","THOC1"
"37827_r_at",6.74880335000153,6.84202664851625,6.72430741661147,6.7821677863087,6.74003766303959,"9980","DOP1B"
"959_at",8.88215281067228,8.80135472791874,8.87932729891944,9.08833408392286,9.43602725768863,"998","CDC42"
"40698_at",6.80142206101069,6.31574793686236,5.96710525990663,6.30406769176366,6.67507033461581,"9976","CLEC2B"
"35706_at",6.54103470093047,6.68066971998884,6.94819777333411,6.83690398324304,6.38097958886666,"9975","NR1D2"
"36068_at",9.64751088539773,9.70103034442975,9.56931909831275,9.79524564884403,9.76895045752811,"9973","CCS"
"32850_at",8.36467229919072,8.08141195213253,8.18000837084098,8.56188037376419,8.45361087329985,"9972","NUP153"
"1274_s_at",9.79658670211608,10.1219451415704,10.0155553347279,10.1613102012379,10.0823734462705,"997","CDC34"
"41625_at",8.91913466719654,8.90896993455909,9.17427501061898,9.39130840861436,9.44715915060018,"9969","MED13"
"40998_at",10.068522841836,9.43118592734475,9.666528436493,9.64029731840633,9.46316709796049,"9968","MED12"
"38122_at",11.32144184307,11.2940096752813,11.2584463907122,11.0836757534833,10.8259433633177,"9962","SLC23A2"
"38064_at",10.1059045296013,9.79745556263702,9.68271278139834,9.64205647300281,9.65212630753606,"9961","MVP"
"40591_at",7.5708038192937,7.13081954245784,8.02891364090053,8.07524248914057,7.99647266377226,"996","CDC27"
